OBJECTID,PROJECTID,PROJECTNAME,WORKNUMBER,PRIMARYPROGRAMNAME,LOCATIONTYPE,X,Y,SMP_TREETRENCH,SMP_PLANTER,SMP_BUMPOUT,SMP_RAINGARDEN,SMP_BASIN,SMP_INFILTRATIONSTORAGETRENCH,SMP_PERVIOUSPAVING,SMP_SWALE,SMP_WETLAND,SMP_GREENROOF,SMP_OTHER,SMP_STORMWATERTREE,SMP_DRAINAGEWELL,SMP_GREENGUTTER,SMP_BLUEROOF,SMP_DEPAVING,SMP_INFILTRATIONCOLUMNS,DESIGNSTARTDATE,INPCDATE,CONSTRUCTIONCOMPLETEDATE,STATUS,SMPDATA_PHASE,TYPE,FINAL_LINK_COPY
53,1379,1038 W TIOGA ST,50149,Vacant Land,Parcel,2697747.42539712,255555.1629804,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
54,1387,Waterloo Playground,50232,Open Space,Parcel,2701711.42512019,249524.31427258,1,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-90% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
55,1393,Frankford Pause,50236,"Parking,Streets,Vacant Land",Parcel,2715225.72404409,260054.54275618,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-90% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
56,1401,Morris Park Neighborhood Streets 2,50240,"Open Space,Streets",Point,2667518.0645124,245933.06923096,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
57,1403,Awbury GSI,50241,"Open Space,Streets",Parcel,2692084.55951522,273008.43672807,0,0,0,2,0,2,0,2,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
58,1404,Nicetown Park East,50242,"Open Space,Streets",Parcel,2694745.66849327,261106.40656436,0,1,1,0,2,0,0,2,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
59,1410,Rivera Recreation Center,50245,"Open Space,Streets",Parcel,2700334.18449312,253878.3775104,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-Final,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
60,1421,Ridge Avenue Gateways,50253,"Streets,Vacant Land",Parcel,2687400.28580253,249425.66922584,6,0,1,2,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
61,1425,Cobbs Creek Trail Rain Gardens,50255,"Open Space,Streets",Point,2672186.0332624,232224.5833906,4,0,2,4,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
62,1428,Black Coyle McBride Rain Garden,50257,"Open Space,Streets",Parcel,2704429.31189612,247891.22600845,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Projects Control-Funding Initiated,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
63,1433,Haddington Woods Rain Garden,50260,"Open Space,Streets",Point,2669189.31402387,240417.28402203,6,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
64,1436,Callowhill Street West,50262,"Open Space,Streets",Point,2668279.34923463,241693.48589762,6,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
65,1311,Heitzman Playground,50192,Open Space,Parcel,2711295.10891606,253183.33082047,1,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,,,,,Design-Final,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
66,1322,6th & Susquehanna ,50197,Streets,Parcel,2698662.91755345,248009.69292081,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green_streets
67,1459,Holman Field,50279,"Streets,Vacant Land",Parcel,2687388.23354502,268930.55049619,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
